NUMBER;TRADEDATE;OPEN;LOW;HIGH;CLOSE;VALUE
205;2024-05-21;7835.0;7788.0;7900.0;7848.0;5772964104.0
206;2024-05-22;7849.5;7805.0;7879.0;7820.0;3445298647.0
207;2024-05-23;7820.0;7777.5;7861.0;7841.5;3898636210.5
208;2024-05-24;7840.5;7701.0;7858.5;7720.0;6629032315.0
209;2024-05-27;7719.5;7479.0;7750.0;7541.5;8693729557.5
210;2024-05-28;7553.0;7431.0;7700.0;7590.0;6626714084.5
211;2024-05-29;7600.0;7582.5;7689.0;7684.0;3069684941.5
212;2024-05-30;7698.0;7551.0;7722.5;7567.0;4119122813.5
213;2024-05-31;7567.0;7301.0;7607.0;7355.5;8612603369.5
214;2024-06-03;7392.0;7161.0;7479.5;7252.0;12181809285.5
215;2024-06-04;7249.0;7185.0;7454.5;7426.0;7649877204.5
216;2024-06-05;7439.0;7377.0;7544.0;7412.5;5625924844.5
217;2024-06-06;7430.0;7351.0;7478.5;7398.0;3012794141.0
218;2024-06-07;7401.0;7401.0;7599.0;7489.0;7964655365.5
219;2024-06-10;7520.0;7261.0;7523.5;7315.0;5812928506.0
220;2024-06-11;7315.0;7235.0;7370.0;7290.0;5091569578.5
221;2024-06-13;7050.0;6923.0;7276.0;7178.5;9135778887.0
222;2024-06-14;7198.0;7181.5;7403.5;7368.0;5382415779.5
223;2024-06-17;7375.0;7202.0;7390.5;7203.0;4452094004.5
224;2024-06-18;7203.0;6993.5;7234.0;7036.0;7251758641.0
225;2024-06-19;7045.0;6806.0;7107.5;6885.0;9689661742.5
226;2024-06-20;6885.5;6633.5;7171.0;7112.5;31748452648.5
227;2024-06-21;7124.0;7024.0;7191.5;7084.0;6394082925.5
228;2024-06-24;7070.0;7032.5;7125.0;7051.5;5061262073.0
229;2024-06-25;7077.0;7002.0;7246.5;7204.0;5256214923.5
230;2024-06-26;7229.5;7194.5;7313.0;7275.0;5388307365.0
231;2024-06-27;7280.0;7161.0;7293.0;7227.0;4822388079.0
232;2024-06-28;7226.5;7172.0;7271.5;7211.0;2914097633.0
233;2024-07-01;7200.5;7190.0;7330.0;7326.0;3688631463.5
234;2024-07-02;7346.0;7285.0;7358.0;7309.5;4494853006.5
235;2024-07-03;7320.0;7220.0;7321.0;7230.5;3174489483.0
236;2024-07-04;7222.0;7080.0;7260.0;7109.5;5425994501.5
237;2024-07-05;7109.5;7035.0;7255.0;7201.0;10215105996.5
238;2024-07-08;7230.0;7080.5;7255.0;7097.0;4905124153.5
239;2024-07-09;7100.0;6930.0;7121.5;6941.0;6402430607.5
240;2024-07-10;6940.0;6681.0;6978.0;6689.0;11592819481.0
241;2024-07-11;6689.5;6681.0;6995.5;6969.5;9074849351.5
242;2024-07-12;6997.0;6830.5;7046.0;6908.0;5378892975.0
243;2024-07-15;6924.0;6771.0;6925.0;6827.0;5340547066.5
244;2024-07-16;6820.0;6727.5;6898.5;6881.0;6481774217.5
245;2024-07-17;6881.0;6788.0;6905.0;6814.0;3958318423.5
246;2024-07-18;6813.5;6760.0;6950.0;6931.5;3794354377.0
247;2024-07-19;6930.5;6871.5;6991.5;6913.0;4275570472.5
248;2024-07-22;6963.0;6934.5;7025.0;7008.0;5234925108.0
249;2024-07-23;7008.5;6950.0;7023.0;6973.0;3444516522.0
250;2024-07-24;6961.0;6933.0;7025.0;6939.5;5134651490.5
251;2024-07-25;6939.5;6884.5;6965.0;6902.5;3005585372.0
252;2024-07-26;6905.0;6859.5;6984.0;6890.0;10418989417.5
253;2024-07-29;6891.0;6706.5;6892.5;6727.5;11164210250.5
254;2024-07-30;6727.0;6705.0;6830.0;6805.5;8030016855.0
255;2024-07-31;6820.0;6731.0;6830.0;6759.5;6017597679.0
256;2024-08-01;6759.0;6678.0;6770.0;6687.0;5441271817.0
257;2024-08-02;6679.5;6577.0;6715.0;6591.0;5335472176.5
258;2024-08-05;6498.0;6336.5;6543.5;6417.5;13417659175.5
259;2024-08-06;6480.0;6356.0;6498.0;6447.0;5538224091.0
260;2024-08-07;6450.0;6357.5;6548.5;6505.0;7983693995.0
261;2024-08-08;6515.5;6403.0;6551.5;6410.5;6062528840.0
262;2024-08-09;6420.0;6385.0;6489.5;6408.5;3779150765.0
263;2024-08-12;6404.0;6311.0;6462.0;6448.5;6270217972.0
264;2024-08-13;6460.5;6410.5;6469.5;6444.5;5192616528.5
265;2024-08-14;6449.0;6371.5;6539.0;6385.0;7950452533.5
266;2024-08-15;6398.0;6334.0;6418.0;6347.0;4403672616.0
267;2024-08-16;6355.0;6226.5;6360.0;6239.5;5592435486.5
268;2024-08-19;6255.0;6103.5;6284.0;6138.5;7640343093.0
269;2024-08-20;6140.0;6050.0;6248.0;6147.5;9270319132.0
270;2024-08-21;6155.0;6107.0;6325.0;6309.5;12213500323.0
271;2024-08-22;6314.0;6278.0;6538.5;6419.0;25228282440.0
272;2024-08-23;6420.0;6320.0;6472.0;6428.0;9599269438.5
273;2024-08-26;6591.0;6506.0;6677.0;6645.0;12542439401.0
274;2024-08-27;6645.0;6458.0;6680.0;6526.5;7348931758.5
275;2024-08-28;6522.0;6302.5;6522.5;6389.0;9735298847.5
276;2024-08-29;6401.0;6250.5;6411.0;6324.0;10021032518.0
277;2024-08-30;6330.0;6118.0;6334.0;6145.0;9634920054.0
278;2024-09-02;6135.0;6040.5;6205.0;6115.0;12876024284.5
279;2024-09-03;6150.5;6069.0;6246.5;6184.0;12881869956.5
280;2024-09-04;6189.0;6171.0;6297.0;6265.0;8528051212.0
281;2024-09-05;6281.0;6235.0;6360.0;6272.0;6601525792.5
282;2024-09-06;6287.0;6232.0;6357.0;6332.0;5580521889.5
283;2024-09-09;6348.0;6348.0;6525.5;6520.0;7322960662.0
284;2024-09-10;6536.0;6376.0;6548.5;6435.0;6768569702.5
285;2024-09-11;6448.0;6402.0;6500.0;6413.5;6231233415.5
286;2024-09-12;6420.0;6370.5;6448.0;6448.0;6771796811.0
287;2024-09-13;6453.5;6304.0;6625.0;6624.5;10153320503.5
288;2024-09-16;6650.0;6581.5;6824.5;6820.5;10805152178.0
289;2024-09-17;6847.0;6742.0;6860.0;6803.0;7242952606.0
290;2024-09-18;6803.0;6730.5;6831.0;6745.5;5601361528.5
291;2024-09-19;6750.0;6718.0;6830.0;6811.0;7521262073.5
292;2024-09-20;6815.5;6812.5;6898.0;6897.5;5175940435.0
293;2024-09-23;6900.0;6899.0;7000.0;6982.5;6185084276.5
294;2024-09-24;6985.0;6865.5;7050.5;6954.5;7060348882.5
295;2024-09-25;6954.5;6860.0;6990.0;6867.0;5707168209.5
296;2024-09-26;6849.0;6770.0;6890.0;6890.0;5859750516.5
297;2024-09-27;6908.0;6831.5;6946.0;6914.5;3794592928.0
298;2024-09-30;6948.5;6852.0;6972.5;6874.0;4915762583.0
299;2024-10-01;6875.0;6773.5;6995.5;6969.0;9612025796.0
300;2024-10-02;6969.0;6781.5;6980.0;6816.5;7074932867.5
301;2024-10-03;6820.0;6780.5;6957.0;6956.0;7298976007.0
302;2024-10-04;6960.0;6925.5;7076.5;7009.0;8485637357.5
303;2024-10-07;7025.0;6956.0;7066.0;7055.0;6762230369.0
304;2024-10-08;7043.0;6960.5;7055.0;6973.5;5250618990.0
305;2024-10-09;6973.5;6861.0;6991.0;6883.5;6681874228.5
306;2024-10-10;6892.0;6845.0;6904.5;6857.0;8511756818.5
307;2024-10-11;6858.0;6792.0;6882.5;6837.0;10306099875.5
